City	lat	lon	id
Москва	55.7522200	37.6155600	1
Санкт-Петербург	59.8944400	30.2641700	2
Новосибирск	55.0411100	82.9344400	3
Екатеринбург	56.8575000	60.6125000	4
Нижний Новгород	56.3286700	44.0020500	5
Самара	53.2000000	50.1500000	6
Казань	55.7877000	49.1248000	7
Омск	55.0000000	73.4000000	8
Челябинск	55.1544400	61.4297200	9
Ростов-на-Дону	47.2363900	39.7138900	10
Уфа	54.7750000	56.0375000	11
Волгоград	48.8047200	44.5858300	12
Пермь	58.0000000	56.2500000	13
Красноярск	56.0097200	92.7916700	14
Воронеж	51.6699000	39.1922700	15